src_ID_COBERTURA_MAX,COBERTURA_DESC_ES,COBERTURA_DESC_EN,osm_skip,osm_source,osm_landuse,osm_natural,osm_landcover,osm_leisure,osm_trees,osm_leaf_type,osm_leaf_cycle,osm_meadow,osm_water,osm_wetland
101,Edificación,Buildings,X,SIOSE,,,,,,,,,,
102,Zona verde artificial y arbolado urbano,Artificial green areas and urban trees,,SIOSE,village_green,,,,,,,,,
104,Zonas pavimentadas o selladas,Paved or sealed areas,X,SIOSE,,,,,,,,,,
105,Piscina,Swimming pool,X,SIOSE,,,,,,,,,,
106,Balsas y estanques,Ponds and ponds,X,SIOSE,,,,,,,,,,
111,Otras construcciones,Other constructions,X,SIOSE,,,,,,,,,,
112,Construcción deportiva,Sports facilities,,SIOSE,,,,sports_centre,,,,,,
121,Suelo no edificado,Undeveloped land,,SIOSE,brownfield,,,,,,,,,
122,Zona abierta,Open area,X,SIOSE,brownfield,,,,,,,,,
132,Zonas de extracción,Extraction areas,,SIOSE,quarry,,,,,,,,,
133,Zonas de vertido,Discharge areas,,SIOSE,landfill,,,,,,,,,
140,Red de transporte terrestre sin catalogar,Unclassified land transport network,X,SIOSE,,,,,,,,,,
141,Autopistas y autovías,Highways and dual carriageways,X,SIOSE,,,,,,,,,,
142,Carreteras,Roads,X,SIOSE,,,,,,,,,,
143,Vías urbanas,Urban roads,X,SIOSE,,,,,,,,,,
144,Caminos y sendas,Paths and paths,X,SIOSE,,,,,,,,,,
145,Vías de ferrocarril,Railways,X,SIOSE,,,,,,,,,,
200,Cultivos,Crops,,SIOSE,farmland,,,,,,,,,
210,Cultivos herbáceos,Arable crops,,SIOSE,farmland,,,,,,,,,
222,Frutales cítricos,Citrus fruit trees,,SIOSE,orchard,,,,orange_trees,,,,,
223,Frutales no cítricos,Non-citrus fruit trees,,SIOSE,orchard,,,,,,,,,
224,Frutos secos,Nuts,,SIOSE,orchard,,,,,,,,,
231,Viñedo,Vineyard,,SIOSE,vineyard,,,,,,,,,
232,Olivar,Olive grove,,SIOSE,orchard,,,,olive_trees,,,,,
241,Otros cultivos permanentes,Other permanent crops,,SIOSE,farmland,,,,,,,,,
251,Viñedo-olivar,Vineyard-olive grove,,SIOSE,orchard,,,,,,,,,
252,Viñedo-frutal,Vineyard-fruit tree,,SIOSE,orchard,,,,,,,,,
253,Frutos secos y viñedo,Nuts and vineyard,,SIOSE,orchard,,,,,,,,,
254,Asociación cítricos-viñedo,Citrus-vineyard association,,SIOSE,orchard,,,,,,,,,
255,Frutos secos y olivar,Nuts and olive grove,,SIOSE,orchard,,,,,,,,,
256,Olivar-frutal,Olive grove-fruit tree,,SIOSE,orchard,,,,,,,,,
257,Asociación olivar-cítricos,Olive grove-citrus tree association,,SIOSE,orchard,,,,,,,,,
258,Asociación cítricos-frutales,Citrus-fruit tree association,,SIOSE,orchard,,,,,,,,,
259,Asociación cítricos-frutales de cáscara,Citrus-nut tree association,,SIOSE,orchard,,,,,,,,,
260,Asociación frutales-frutales de cáscara,Fruit tree-nut tree association Shell,,SIOSE,orchard,,,,,,,,,
280,Huerta,Orchard,,SIOSE,orchard,,,,,,,,,
290,Prados,Meadows,,SIOSE,meadow,,,,,,,pasture,,
300,Pastizal,Grassland,,SIOSE,meadow,,,,,,,,,
301,Pastizal-matorral,Grassland-scrubland,,SIOSE,meadow,,,,,,,,,
302,Pasto arbolado,Wooded pasture,,SIOSE,,wood,trees,,,,,,,
310,Arbolado,Trees,,SIOSE,,wood,trees,,,,,,,
312,Frondosas caducifolias,Deciduous broadleaved,,SIOSE,,wood,trees,,,broadleaved,deciduous,,,
313,Frondosas perennifolias,Evergreen broadleaved,,SIOSE,,wood,trees,,,broadleaved,evergreen,,,
316,Coníferas,Conifers,,SIOSE,,wood,trees,,,needleleaved,evergreen,,,
320,Matorral,Scrubland,,SIOSE,,scrub,scrub,,,,,,,
330,Terrenos con escasa o nula vegetación,Land with little or no vegetation,,SIOSE,,scrub,scrub,,,,,,,
331,Playas dunas y arenales,Beaches dunes and sandbanks,,SIOSE,,sand,sand,,,,,,,
351,Acantilados marinos,Marine cliffs,,SIOSE,,cliff,cliff,,,,,,,
354,Coladas lávicas,Lavic flows,,SIOSE,,lava_flow,lava_flow,,,,,,,
400,Coberturas húmedas,Humid land covers,,SIOSE,,wetland,wetland,,,,,,,
412,Turberas,Peat bogs,,SIOSE,,wetland,wetland,,,,,,,bog
421,Marismas,Marshes,,SIOSE,,wetland,wetland,,,,,,,marsh
423,Salinas,Salt marshes,,SIOSE,,wetland,wetland,,,,,,,saltmarsh
500,Coberturas de agua,Water covers,X,SIOSE,,water,water,,,,,,,
511,Cursos de agua,Watercourses,X,SIOSE,,water,water,,,,,,,
513,Lagos y lagunas,Lakes and lagoons,X,SIOSE,,water,water,,,,,,,
514,Embalses,Reservoirs,X,SIOSE,,water,water,,,,,,basin,
515,Canales,Canals,X,SIOSE,,water,water,,,,,,,
522,Estuarios,Estuaries,X,SIOSE,,water,water,,,,,,,
523,Mares y océanos,Seas and oceans,X,SIOSE,,water,water,,,,,,,
999,Desconocido,Unknown,X,SIOSE,,,,,,,,,,
